run_id,latent_dim,beta,kl_loss,recon_loss,n_active,active_ratio,mean_dim_var,max_dim_var,min_dim_var
ld16_b0.1_s0_20260308_090249,16,0.1,0.0038033004384487867,0.02989385835826397,0,0.0,0.0002449006715323776,0.0003446649934630841,0.00019963928207289428
ld16_b0.1_s1_20260308_090446,16,0.1,0.00392956705763936,0.030235813930630684,0,0.0,0.0002548295015003532,0.00032412074506282806,0.00019843431073240936
ld16_b0.1_s2_20260308_090630,16,0.1,0.003799926955252886,0.029589280486106873,0,0.0,0.0002640337042976171,0.00033564609475433826,0.0002012733748415485
ld16_b0.5_s0_20260308_090802,16,0.5,0.002456759801134467,0.029943082481622696,0,0.0,0.00018734059995040298,0.0002738427428994328,0.00014543587167281657
ld16_b0.5_s1_20260308_090934,16,0.5,0.0024627973325550556,0.03028486669063568,0,0.0,0.00019551650620996952,0.0002618969592731446,0.00014379396452568471
ld16_b0.5_s2_20260308_091108,16,0.5,0.0025986917316913605,0.0296342670917511,0,0.0,0.00021147358347661793,0.0002742884971667081,0.000152569729834795
ld16_b1.0_s0_20260308_091240,16,1.0,0.0024012650828808546,0.029949817806482315,0,0.0,0.00018458596605341882,0.0002704922226257622,0.00014284455392044038
ld16_b1.0_s1_20260308_091413,16,1.0,0.002380225108936429,0.030292043462395668,0,0.0,0.000191890329006128,0.0002564761380199343,0.00013945382670499384
ld16_b1.0_s2_20260308_091546,16,1.0,0.0025495279114693403,0.029640138149261475,0,0.0,0.0002087745233438909,0.00027072199736721814,0.0001497398188803345
ld16_b2.0_s0_20260308_091718,16,2.0,0.0023880773223936558,0.029952997341752052,0,0.0,0.00018396068480797112,0.00026939145755022764,0.00014179669960867614
ld16_b2.0_s1_20260308_091851,16,2.0,0.0023573259823024273,0.030295904725790024,0,0.0,0.00019110296852886677,0.0002545987954363227,0.00013889568799640983
ld16_b2.0_s2_20260308_092025,16,2.0,0.002537193475291133,0.029643142595887184,0,0.0,0.0002080322738038376,0.00026943301782011986,0.00014995982928667217
ld16_b4.0_s0_20260308_092156,16,4.0,0.0023845655377954245,0.0299545731395483,0,0.0,0.0001837802556110546,0.0002690842957235873,0.00014145864406600595
ld16_b4.0_s1_20260308_092329,16,4.0,0.0023518060334026814,0.030297882854938507,0,0.0,0.00019109345157630742,0.00025450208340771496,0.00013861534534953535
ld16_b4.0_s2_20260308_092503,16,4.0,0.0025340155698359013,0.029644649475812912,0,0.0,0.0002078058896586299,0.0002688977983780205,0.00015038051060400903
ld32_b0.1_s0_20260308_092637,32,0.1,0.00578656978905201,0.03143980726599693,0,0.0,0.00021762005053460598,0.00029051012825220823,0.0001443658402422443
ld32_b0.1_s1_20260308_092813,32,0.1,0.005588217172771692,0.03130991384387016,0,0.0,0.000204776632017456,0.00026356990565545857,0.00014614799874834716
ld32_b0.1_s2_20260308_092946,32,0.1,0.005596936214715242,0.031224770471453667,0,0.0,0.00020633691747207195,0.00026792666176334023,0.00014988343173172325
ld32_b0.5_s0_20260308_093122,32,0.5,0.004660370294004679,0.03147466853260994,0,0.0,0.0001898167683975771,0.00026160140987485647,0.00011799408821389079
ld32_b0.5_s1_20260308_093256,32,0.5,0.004464324098080397,0.03134042024612427,0,0.0,0.00017592163931112736,0.00023811352730263025,0.00012610181875061244
ld32_b0.5_s2_20260308_093429,32,0.5,0.004531539045274258,0.03125682473182678,0,0.0,0.0001819553435780108,0.00024457962717860937,0.00012797470844816417
ld32_b1.0_s0_20260308_093648,32,1.0,0.004618051927536726,0.03147910535335541,0,0.0,0.0001885693200165406,0.00026121834525838494,0.00011669100058497861
ld32_b1.0_s1_20260308_093822,32,1.0,0.004404743667691946,0.031344592571258545,0,0.0,0.00017417465278413147,0.00023589792544953525,0.0001250739733222872
ld32_b1.0_s2_20260308_093955,32,1.0,0.004484149627387524,0.031261052936315536,0,0.0,0.0001809483510442078,0.00024412227503489703,0.0001270073844352737
ld32_b2.0_s0_20260308_094129,32,2.0,0.004606330767273903,0.03148118406534195,0,0.0,0.00018818091484718025,0.00026041126693598926,0.00011662278120638803
ld32_b2.0_s1_20260308_094302,32,2.0,0.004388070199638605,0.031346749514341354,0,0.0,0.00017365920939482749,0.00023514492204412818,0.0001243927254108712
ld32_b2.0_s2_20260308_094436,32,2.0,0.004471377935260534,0.031263288110494614,0,0.0,0.00018074650142807513,0.0002446889120619744,0.0001268275227630511
ld32_b4.0_s0_20260308_094609,32,4.0,0.004603751469403505,0.03148217499256134,0,0.0,0.00018812510825227946,0.0002605015179142356,0.00011677934526233003
ld32_b4.0_s1_20260308_094746,32,4.0,0.004381767939776182,0.03134777024388313,0,0.0,0.00017344564548693597,0.00023497916117776185,0.00012428578338585794
ld32_b4.0_s2_20260308_094921,32,4.0,0.004467289429157972,0.031264327466487885,0,0.0,0.00018071931845042855,0.00024410976038780063,0.0001266810140805319
ld4_b0.1_s0_20260308_065435,4,0.1,0.0020226447377353907,0.026233181357383728,0,0.0,0.00033576827263459563,0.00035719992592930794,0.0002933807554654777
ld4_b0.1_s1_20260308_065617,4,0.1,0.002321458887308836,0.02619517594575882,0,0.0,0.0003569041145965457,0.0003756150836125016,0.00033644065842963755
