run_id,latent_dim,beta,kl_loss,recon_loss,n_active,active_ratio,mean_dim_var,max_dim_var,min_dim_var
ld16_b0.1_s0_20260308_090249,16,0.1,0.0038033004384487867,0.02989385835826397,0,0.0,0.0014283322962000966,0.0017447646241635084,0.0010742379818111658
ld16_b0.1_s1_20260308_090446,16,0.1,0.00392956705763936,0.030235813930630684,0,0.0,0.001537111820653081,0.001920162234455347,0.0011232359101995826
ld16_b0.1_s2_20260308_090630,16,0.1,0.003799926955252886,0.029589280486106873,0,0.0,0.0015001959400251508,0.0018790910253301263,0.001111837918870151
ld16_b0.5_s0_20260308_090802,16,0.5,0.002456759801134467,0.029943082481622696,0,0.0,0.0012188669061288238,0.0015111002139747143,0.0009525585919618607
ld16_b0.5_s1_20260308_090934,16,0.5,0.0024627973325550556,0.03028486669063568,0,0.0,0.0013317158445715904,0.0017617185367271304,0.0008780310745351017
ld16_b0.5_s2_20260308_091108,16,0.5,0.0025986917316913605,0.0296342670917511,0,0.0,0.0013091249857097864,0.0016343459719792008,0.0009971177205443382
ld16_b1.0_s0_20260308_091240,16,1.0,0.0024012650828808546,0.029949817806482315,0,0.0,0.0012028637574985623,0.00149844354018569,0.0009326574509032071
ld16_b1.0_s1_20260308_091413,16,1.0,0.002380225108936429,0.030292043462395668,0,0.0,0.0013221044791862369,0.0017496546497568488,0.0008646465139463544
ld16_b1.0_s2_20260308_091546,16,1.0,0.0025495279114693403,0.029640138149261475,0,0.0,0.0012968572555109859,0.001625064411200583,0.000983991427347064
ld16_b2.0_s0_20260308_091718,16,2.0,0.0023880773223936558,0.029952997341752052,0,0.0,0.0011955499649047852,0.0014919416280463338,0.0009270104928873479
ld16_b2.0_s1_20260308_091851,16,2.0,0.0023573259823024273,0.030295904725790024,0,0.0,0.0013195377541705966,0.001747464993968606,0.0008648079819977283
ld16_b2.0_s2_20260308_092025,16,2.0,0.002537193475291133,0.029643142595887184,0,0.0,0.0012929177610203624,0.0016146576963365078,0.0009796798694878817
ld16_b4.0_s0_20260308_092156,16,4.0,0.0023845655377954245,0.0299545731395483,0,0.0,0.0011942157289013267,0.0014919749228283763,0.0009239314822480083
ld16_b4.0_s1_20260308_092329,16,4.0,0.0023518060334026814,0.030297882854938507,0,0.0,0.0013192248297855258,0.0017458201618865132,0.0008665829664096236
ld16_b4.0_s2_20260308_092503,16,4.0,0.0025340155698359013,0.029644649475812912,0,0.0,0.0012927321949973702,0.0016168042784556746,0.0009775899816304445
ld32_b0.1_s0_20260308_092637,32,0.1,0.00578656978905201,0.03143980726599693,0,0.0,0.0015187649987637997,0.0024859674740582705,0.0009939984884113073
ld32_b0.1_s1_20260308_092813,32,0.1,0.005588217172771692,0.03130991384387016,0,0.0,0.0015046580228954554,0.002245682291686535,0.0009605951490812004
ld32_b0.1_s2_20260308_092946,32,0.1,0.005596936214715242,0.031224770471453667,0,0.0,0.001440082909539342,0.0019896631129086018,0.0010273889638483524
ld32_b0.5_s0_20260308_093122,32,0.5,0.004660370294004679,0.03147466853260994,0,0.0,0.0014265987556427717,0.0022425095085054636,0.0008723816135898232
ld32_b0.5_s1_20260308_093256,32,0.5,0.004464324098080397,0.03134042024612427,0,0.0,0.0014090389013290405,0.002008834620937705,0.0008947880705818534
ld32_b0.5_s2_20260308_093429,32,0.5,0.004531539045274258,0.03125682473182678,0,0.0,0.001349895028397441,0.0019493986619636416,0.00093062937958166
ld32_b1.0_s0_20260308_093648,32,1.0,0.004618051927536726,0.03147910535335541,0,0.0,0.0014227298088371754,0.002215983346104622,0.0008609860087744892
ld32_b1.0_s1_20260308_093822,32,1.0,0.004404743667691946,0.031344592571258545,0,0.0,0.0014045904390513897,0.0019981299992650747,0.0008886532159522176
ld32_b1.0_s2_20260308_093955,32,1.0,0.004484149627387524,0.031261052936315536,0,0.0,0.0013441960327327251,0.0019357316195964813,0.0009243200765922666
ld32_b2.0_s0_20260308_094129,32,2.0,0.004606330767273903,0.03148118406534195,0,0.0,0.00142195716034621,0.002218459499999881,0.0008590068318881094
ld32_b2.0_s1_20260308_094302,32,2.0,0.004388070199638605,0.031346749514341354,0,0.0,0.001403287285938859,0.0019948899280279875,0.0008828541613183916
ld32_b2.0_s2_20260308_094436,32,2.0,0.004471377935260534,0.031263288110494614,0,0.0,0.0013422908959910274,0.001935297972522676,0.0009192590368911624
ld32_b4.0_s0_20260308_094609,32,4.0,0.004603751469403505,0.03148217499256134,0,0.0,0.0014221480814740062,0.0022194122429937124,0.000855331018101424
ld32_b4.0_s1_20260308_094746,32,4.0,0.004381767939776182,0.03134777024388313,0,0.0,0.0014024097472429276,0.0019906708039343357,0.0008836019551381469
